Medicare Part D Opioid Prescribing Rates from Calendar Year 2015 - State ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Urban and rural totals differ slightly from overall totals due to inability to map a small number of provider ZIP codes to the  United States Department of Agriculture (USDA) 2010 Rural-Urban Commuting Area Codes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015 ,,,,,,,,,,,,,,,,,,,,,Change in Opioid Prescribing Rates 2013 to 2015 ,,,,,
District of Columbia ,DC ,11,"4,603","4,532",0,"1,418","1,401",0,"82,879","81,929",0,"8,298","8,186",0,"2,016,358","1,991,992",0,4.11,4.11,0.00,10.01,9.99,0.00,-0.21,-0.14,0.00,-1.07,-0.82,0.00
Florida ,FL ,12,"65,665","64,518","1,133","26,598","26,070",518,"5,449,136","5,299,994","148,331","757,663","742,429","15,172","105,837,761","103,276,327","2,549,810",5.15,5.13,5.82,13.90,14.01,10.23,-0.06,-0.05,-0.19,1.16,1.15,1.47
Georgia ,GA ,13,"27,344","24,047","3,263","13,270","11,323","1,926","2,748,839","2,154,104","591,108","287,918","238,699","48,621","45,655,802","34,768,937","10,855,326",6.02,6.20,5.45,10.47,11.08,8.23,-0.54,-0.50,-0.66,0.35,0.33,0.26
Hawaii ,HI ,15,"4,142","3,376",759,"1,656","1,287",367,"159,578","107,814","51,695","22,162","13,374","8,788","4,199,186","3,235,077","962,079",3.80,3.33,5.37,13.89,12.40,17.00,-0.07,-0.08,-0.01,-0.44,-0.59,-0.14
Idaho ,ID ,16,"5,098","3,883","1,207","2,824","2,095",725,"447,685","317,442","129,265","74,898","51,419","23,314","6,055,890","4,203,866","1,836,363",7.39,7.55,7.04,16.73,16.20,18.04,-0.32,-0.30,-0.37,0.17,-0.02,0.72
Illinois ,IL ,17,"44,282","40,894","3,363","18,750","16,777","1,959","2,382,976","1,947,003","433,548","249,735","200,565","48,961","50,851,327","41,884,842","8,909,976",4.69,4.65,4.87,10.48,10.30,11.29,-0.29,-0.31,-0.20,0.21,0.31,-0.27
Indiana ,IN ,18,"20,458","17,273","3,181","10,572","8,768","1,804","2,046,180","1,594,822","450,725","259,648","206,528","53,218","32,449,634","24,651,266","7,790,688",6.31,6.47,5.79,12.69,12.95,11.81,-0.59,-0.60,-0.60,-0.41,-0.50,-0.15
Iowa ,IA ,19,"10,327","7,130","3,195","5,147","3,351","1,797","779,333","442,560","336,916","109,172","58,565","50,607","16,758,716","9,091,690","7,672,901",4.65,4.87,4.39,14.01,13.23,15.02,-0.24,-0.23,-0.25,0.15,-0.14,0.56
Kansas ,KS ,20,"9,567","6,819","2,750","5,008","3,384","1,621","846,681","505,372","340,819","123,357","70,753","52,604","14,064,550","8,166,632","5,896,868",6.02,6.19,5.78,14.57,14.00,15.43,-0.34,-0.32,-0.38,0.51,0.51,0.59
Kentucky ,KY ,21,"15,138","9,833","5,239","6,849","4,197","2,625","1,704,228","878,091","824,060","151,578","99,690","51,362","29,899,398","14,440,429","15,442,705",5.70,6.08,5.34,8.89,11.35,6.23,-0.51,-0.47,-0.56,-0.03,0.11,-0.35
Louisiana ,LA ,22,"15,592","14,157","1,433","7,777","6,895",884,"1,513,278","1,298,919","215,165","130,520","119,618","11,016","25,986,365","21,304,528","4,681,432",5.82,6.10,4.60,8.62,9.21,5.12,-0.52,-0.47,-0.73,0.74,0.73,0.45
Maine ,ME ,23,"5,959","3,627","2,331","3,027","1,738","1,290","402,675","199,440","203,206","73,384","34,361","39,023","6,830,570","3,408,597","3,421,047",5.90,5.85,5.94,18.22,17.23,19.20,-0.39,-0.57,-0.22,0.57,-0.10,1.21
Maryland ,MD ,24,"22,272","21,682",578,"9,184","8,863",317,"1,061,953","1,008,405","53,577","183,693","176,073","7,655","18,017,699","16,978,841","1,036,242",5.89,5.94,5.17,17.30,17.46,14.29,-0.14,-0.13,-0.34,0.85,0.87,0.45
Massachusetts ,MA ,25,"34,081","33,511",525,"13,606","13,337",255,"1,324,414","1,287,352","36,012","201,065","194,800","6,073","31,787,439","30,974,498","773,659",4.17,4.16,4.65,15.18,15.13,16.86,-0.30,-0.30,-0.27,0.31,0.28,1.15
Michigan ,MI ,26,"39,759","34,824","4,932","19,556","16,822","2,731","3,355,811","2,737,812","616,819","422,864","325,443","97,222","48,088,602","39,340,862","8,727,446",6.98,6.96,7.07,12.60,11.89,15.76,-0.48,-0.51,-0.38,0.45,0.64,-0.31
Minnesota ,MN ,27,"20,605","17,058","3,540","9,790","7,751","2,037","1,077,580","762,422","315,252","153,760","105,093","48,715","21,157,947","14,479,719","6,681,052",5.09,5.27,4.72,14.27,13.78,15.45,-0.18,-0.14,-0.26,-0.40,0.03,-1.31
Mississippi ,MS ,28,"8,615","4,894","3,718","4,840","2,556","2,281","1,080,703","465,194","615,188","92,932","47,335","45,597","17,965,547","7,382,194","10,572,336",6.02,6.30,5.82,8.60,10.18,7.41,-0.40,-0.44,-0.38,0.74,0.74,0.71
Missouri ,MO ,29,"20,614","17,042","3,574","9,424","7,638","1,787","2,028,791","1,424,218","604,212","252,738","182,537","70,109","35,612,539","24,919,801","10,684,085",5.70,5.72,5.66,12.46,12.82,11.60,-0.43,-0.40,-0.49,0.29,0.35,0.12
Montana ,MT ,30,"3,675","1,705","1,965","1,922",855,"1,063","262,237","112,222","149,798","46,079","19,104","26,955","3,979,226","1,791,604","2,183,826",6.59,6.26,6.86,17.57,17.02,17.99,-0.20,-0.53,0.06,0.10,-0.72,0.72
Nebraska ,NE ,31,"6,650","4,753","1,893","3,203","2,125","1,075","444,331","247,639","196,505","62,483","29,787","32,696","9,292,182","5,113,256","4,175,339",4.78,4.84,4.71,14.06,12.03,16.64,-0.30,-0.41,-0.18,0.04,-0.11,0.36
Nevada ,NV ,32,"7,257","6,835",415,"3,846","3,582",261,"695,241","651,929","43,132","101,421","97,399","4,022","9,105,108","8,534,616","564,423",7.64,7.64,7.64,14.59,14.94,9.32,-0.49,-0.52,-0.03,0.07,0.12,-1.24
New Hampshire ,NH ,33,"5,700","2,936","2,767","2,725","1,429","1,296","306,218","167,226","139,008","61,365","34,336","27,029","5,429,806","2,908,536","2,521,376",5.64,5.75,5.51,20.04,20.53,19.44,-0.54,-0.55,-0.51,-0.91,-0.78,-1.03
New Jersey ,NJ ,34,"30,654","30,363",282,"12,492","12,388",104,"1,471,865","1,449,146","25,276","239,892","235,510","4,942","35,369,970","34,953,647","427,799",4.16,4.15,5.91,16.30,16.25,19.55,-0.10,-0.11,1.15,0.06,0.05,0.88
New Mexico ,NM ,35,"7,076","5,250","1,821","3,402","2,417",984,"465,670","317,382","148,458","57,447","40,276","17,199","7,214,478","4,836,810","2,379,528",6.45,6.56,6.24,12.34,12.69,11.59,-0.04,-0.04,-0.06,-0.45,-0.86,0.28
New York ,NY ,36,"89,056","84,483","4,555","29,182","26,908","2,268","2,877,638","2,531,782","345,128","407,796","355,937","51,859","94,641,910","86,274,362","8,363,255",3.04,2.93,4.13,14.17,14.06,15.03,-0.06,-0.06,-0.07,-0.03,0.01,-0.23
North Carolina ,NC ,37,"33,517","28,021","5,489","17,888","14,457","3,428","3,206,870","2,384,309","821,950","430,960","339,021","91,795","52,831,808","38,569,750","14,255,064",6.07,6.18,5.77,13.44,14.22,11.17,-0.24,-0.28,-0.18,0.42,0.21,0.92
North Dakota ,ND ,38,"2,777","1,805",972,"1,374",865,510,"162,573","98,238","64,368","28,207","16,948","11,274","3,568,506","1,904,289","1,664,127",4.56,5.16,3.87,17.35,17.25,17.51,-0.03,-0.08,-0.05,0.23,-0.14,0.75
Ohio ,OH ,39,"42,807","36,873","5,901","20,514","17,258","3,244","3,305,365","2,602,727","693,955","351,246","278,616","70,554","62,188,401","48,248,899","13,880,841",5.32,5.39,5.00,10.63,10.70,10.17,-0.49,-0.51,-0.50,-0.68,-0.73,-0.52
Oklahoma ,OK ,40,"11,579","8,199","3,377","6,056","4,097","1,960","1,280,793","814,550","466,448","180,290","130,940","49,364","17,237,163","10,225,611","7,015,784",7.43,7.97,6.65,14.08,16.08,10.58,-0.32,-0.23,-0.48,1.36,1.56,0.72
Oregon ,OR ,41,"15,686","12,926","2,733","8,084","6,457","1,617","1,206,487","926,398","279,136","204,688","161,173","43,439","16,755,023","12,847,680","3,887,181",7.20,7.21,7.18,16.97,17.40,15.56,-0.32,-0.27,-0.45,-0.78,-0.84,-0.69
Pennsylvania ,PA ,42,"54,835","49,902","4,344","23,743","21,193","2,288","3,556,348","3,034,964","482,299","550,283","466,688","75,863","72,956,584","61,912,577","10,326,519",4.87,4.90,4.67,15.47,15.38,15.73,-0.14,-0.12,-0.22,-0.05,0.03,-0.53
Rhode Island ,RI ,44,"4,828","4,825",0,"2,097","2,098",0,"227,959","228,305",0,"27,751","27,861",0,"6,198,611","6,202,429",0,3.68,3.68,0.00,12.17,12.20,0.00,-0.46,-0.46,-3.14,0.41,0.42,0.00
South Carolina ,SC ,45,"14,598","12,573","2,015","7,874","6,576","1,294","1,530,606","1,209,917","319,906","150,238","127,824","22,257","25,372,071","19,648,643","5,708,269",6.03,6.16,5.60,9.82,10.56,6.96,-0.79,-0.82,-0.72,0.30,0.25,0.30
South Dakota ,SD ,46,"3,149","1,917","1,231","1,609",937,672,"208,820","106,107","102,713","35,512","15,898","19,614","4,105,490","1,928,662","2,176,807",5.09,5.50,4.72,17.01,14.98,19.10,-0.09,-0.11,-0.10,-0.08,-0.27,0.24
Tennessee ,TN ,47,"23,747","19,623","4,171","12,915","10,250","2,684","2,911,787","2,042,529","869,588","397,540","291,748","106,169","40,834,148","28,804,100","12,017,079",7.13,7.09,7.24,13.65,14.28,12.21,-0.23,-0.33,0.03,-0.23,-0.50,0.52
Texas ,TX ,48,"69,116","62,969","6,132","30,964","27,624","3,331","4,916,801","4,219,833","695,784","443,914","393,136","50,518","89,476,820","75,411,830","14,053,362",5.50,5.60,4.95,9.03,9.32,7.26,-0.58,-0.54,-0.84,1.14,1.17,0.78
Utah ,UT ,49,"8,267","7,528",738,"4,044","3,601",441,"563,568","484,603","78,868","82,891","71,020","11,871","7,449,103","6,462,526","986,253",7.57,7.50,8.00,14.71,14.66,15.05,-0.10,-0.09,-0.20,0.55,0.66,-0.10
Vermont ,VT ,50,"2,588","1,132","1,456","1,199",453,746,"149,376","47,601","101,775","33,353","11,189","22,164","2,666,110","790,597","1,875,494",5.60,6.02,5.43,22.33,23.51,21.78,-0.28,-0.58,-0.19,0.58,1.27,0.24
Virginia ,VA ,51,"25,330","22,989","2,336","12,024","10,612","1,404","1,693,625","1,330,824","361,761","192,844","160,885","31,934","30,568,062","23,855,204","6,701,287",5.54,5.58,5.40,11.39,12.09,8.83,-0.41,-0.40,-0.46,0.29,0.26,0.29
Washington ,WA ,53,"25,367","23,404","1,952","12,488","11,311","1,169","1,632,551","1,435,805","196,267","271,053","239,784","31,165","23,752,842","21,104,161","2,644,492",6.87,6.80,7.42,16.60,16.70,15.88,-0.09,-0.09,-0.10,-0.44,-0.40,-0.78
West Virginia ,WV ,54,"7,070","5,405","1,659","3,313","2,472",838,"747,163","535,412","211,294","67,285","51,034","16,198","12,896,769","8,802,451","4,084,488",5.79,6.08,5.17,9.01,9.53,7.67,-0.74,-0.77,-0.70,0.38,0.45,0.19
Wisconsin ,WI ,55,"20,542","16,237","4,298","10,400","7,937","2,458","1,470,925","1,096,646","372,549","254,341","190,073","64,007","25,403,411","18,606,534","6,744,202",5.79,5.89,5.52,17.29,17.33,17.18,-0.11,-0.15,-0.03,-0.42,-0.28,-0.84
Wyoming ,WY ,56,"1,758",687,"1,073",899,342,558,"105,248","39,253","66,121","16,353","5,978","10,396","1,716,442","663,627","1,054,952",6.13,5.91,6.27,15.54,15.23,15.72,0.20,0.05,0.29,0.21,0.78,-0.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
